Date,Ticket Number,Customer Email,Agent ID,Issue,Status,Average Handling Time,Resolution,Contact via,Ratings,AI Conversion
01-01-2025,ADB-6441-5335,cheryl92@gmail.com,tel10079,Provisioning Issue,Callback Scheduled,15,SME Callback Scheduled,Phone,,Issue not Resolved
01-01-2025,ADB-7403-5279,bradley560@bellsouth.net,tel10044,Provisioning Issue,Resolved,27,Remote Support,Chat,,Not Interested
01-01-2025,ADB-1221-4615,christopher959@bellsouth.net,tel10048,How To,Resolved,15,Shared Self-Help Article,Phone,5,Not Interested
01-01-2025,ADB-6539-3360,alexander531@outlook.com,tel10035,Provisioning Issue,Pending Customer Action,16,Issue not Resolved,Chat,,Issue not Resolved
01-01-2025,ADB-4223-4394,jacob824@outlook.com,tel10031,Update,Pending Customer Action,15,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-6006-7898,adam451@outlook.com,tel10021,Provisioning Issue,Resolved,15,Shared Self-Help Article,Chat,5,AI Sold
01-01-2025,ADB-6148-6564,marcus742@bellsouth.net,tel10016,Download/ Install,Resolved,20,Shared Self-Help Article,Chat,5,Already has AI
01-01-2025,ADB-4728-8125,adam27@comcast.net,tel10076,Download/ Install,Callback Scheduled,16,SME Callback Scheduled,Chat,,Issue not Resolved
01-01-2025,ADB-5583-3671,vincent747@aol.com,tel10014,How To,Pending Customer Action,15,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-6913-4355,susan276@comcast.net,tel10015,Activation Issue,Resolved,17,Shared Self-Help Article,Chat,3,AI Sold
01-01-2025,ADB-9309-8712,david444@gmail.com,tel10030,How To,Resolved,17,Shared Self-Help Article,Phone,,AI Sold
01-01-2025,ADB-5640-9079,katherine903@gmail.com,tel10076,Provisioning Issue,Resolved,30,Remote Support,Chat,5,Already has AI
01-01-2025,ADB-7559-6872,todd944@comcast.net,tel10025,Update,Resolved,16,Shared Self-Help Article,Chat,5,AI Sold
01-01-2025,ADB-9009-2730,lucas579@bellsouth.net,tel10057,Update,Resolved,30,Remote Support,Chat,4,Already has AI
01-01-2025,ADB-9632-1438,daniel808@yahoo.com,tel10028,How To,Resolved,29,Remote Support,Chat,5,Not Interested
01-01-2025,ADB-1885-1321,matthew186@yahoo.com,tel10073,Update,Pending Customer Action,17,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-2255-1949,nicole80@comcast.net,tel10085,How To,Resolved,16,Shared Self-Help Article,Phone,1,Already has AI
01-01-2025,ADB-9987-1489,jennifer756@yahoo.com,tel10028,Update,Resolved,17,Shared Self-Help Article,Phone,4,Not Interested
01-01-2025,ADB-8951-8836,sarah486@sbcglobal.net,tel10008,Update,Resolved,17,Shared Self-Help Article,Phone,4,Already has AI
01-01-2025,ADB-7964-9830,jenna190@yahoo.com,tel10050,Activation Issue,Resolved,30,Remote Support,Chat,,Already has AI
01-01-2025,ADB-7099-7893,julie979@yahoo.com,tel10030,Update,Resolved,19,Shared Self-Help Article,Chat,5,Not Interested
01-01-2025,ADB-2818-3578,joseph931@comcast.net,tel10010,Provisioning Issue,Resolved,27,Remote Support,Phone,4,AI Sold
01-01-2025,ADB-2038-4397,angela256@yahoo.com,tel10066,Update,Resolved,19,Shared Self-Help Article,Chat,4,AI Sold
01-01-2025,ADB-1377-5230,max281@bellsouth.net,tel10016,How To,Resolved,17,Shared Self-Help Article,Phone,4,Already has AI
01-01-2025,ADB-2063-7882,katrina528@comcast.net,tel10066,Activation Issue,Resolved,17,Shared Self-Help Article,Phone,1,Not Interested
01-01-2025,ADB-3517-2529,daniel808@yahoo.com,tel10077,Download/ Install,Resolved,17,Shared Self-Help Article,Phone,1,AI Sold
01-01-2025,ADB-1216-9818,carolyn83@comcast.net,tel10007,How To,Pending Customer Action,15,Issue not Resolved,Chat,,Issue not Resolved
01-01-2025,ADB-3168-6678,alexandria263@outlook.com,tel10090,Update,Pending Agent Action,18,Issue not Resolved,Chat,,Issue not Resolved
01-01-2025,ADB-8128-8776,donald613@bellsouth.net,tel10065,Update,Resolved,17,Shared Self-Help Article,Chat,5,AI Sold
01-01-2025,ADB-3084-6285,daniel148@yahoo.com,tel10062,Update,Resolved,28,Remote Support,Chat,3,Already has AI
01-01-2025,ADB-5233-3579,james180@sbcglobal.net,tel10098,Update,Pending Customer Action,18,Issue not Resolved,Chat,,Issue not Resolved
01-01-2025,ADB-6971-7602,william611@sbcglobal.net,tel10030,Update,Pending Customer Action,19,Issue not Resolved,Chat,,Issue not Resolved
01-01-2025,ADB-9222-8248,sarah680@outlook.com,tel10008,How To,Resolved,19,Shared Self-Help Article,Phone,4,Already has AI
01-01-2025,ADB-6184-3492,tracy314@comcast.net,tel10053,How To,Resolved,15,Shared Self-Help Article,Phone,,Already has AI
01-01-2025,ADB-4415-3805,todd843@aol.com,tel10068,Provisioning Issue,Resolved,19,Shared Self-Help Article,Phone,5,Not Interested
01-01-2025,ADB-6262-3686,mark156@aol.com,tel10051,How To,Resolved,30,Remote Support,Phone,,Already has AI
01-01-2025,ADB-6768-8920,robert901@comcast.net,tel10073,How To,Resolved,19,Shared Self-Help Article,Phone,4,AI Sold
01-01-2025,ADB-8244-5071,kenneth984@aol.com,tel10093,Provisioning Issue,Resolved,15,Shared Self-Help Article,Chat,3,Not Interested
01-01-2025,ADB-5880-7290,james400@sbcglobal.net,tel10031,How To,Callback Scheduled,17,SME Callback Scheduled,Chat,,Issue not Resolved
01-01-2025,ADB-8974-9609,julian470@bellsouth.net,tel10049,Download/ Install,Callback Scheduled,15,SME Callback Scheduled,Phone,,Issue not Resolved
01-01-2025,ADB-1475-5747,gregory818@yahoo.com,tel10042,How To,Resolved,20,Shared Self-Help Article,Chat,5,Not Interested
01-01-2025,ADB-6949-9820,elizabeth167@yahoo.com,tel10008,Download/ Install,Resolved,30,Remote Support,Chat,3,AI Sold
01-01-2025,ADB-6564-8131,jaime565@sbcglobal.net,tel10035,Update,Resolved,28,Remote Support,Phone,4,Not Interested
01-01-2025,ADB-6692-6747,darius378@yahoo.com,tel10062,Download/ Install,Resolved,16,Shared Self-Help Article,Chat,5,Not Interested
01-01-2025,ADB-9416-4048,matthew519@aol.com,tel10034,Provisioning Issue,Resolved,16,Shared Self-Help Article,Chat,2,Not Interested
01-01-2025,ADB-1730-8198,matthew792@comcast.net,tel10017,Update,Resolved,27,Remote Support,Phone,4,Already has AI
01-01-2025,ADB-2714-9727,mckenzie974@outlook.com,tel10093,Download/ Install,Resolved,20,Shared Self-Help Article,Chat,2,Already has AI
01-01-2025,ADB-3313-9572,jerry437@gmail.com,tel10023,Download/ Install,Pending Customer Action,19,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-8631-5016,ricardo993@outlook.com,tel10031,Update,Resolved,25,Remote Support,Chat,5,Already has AI
01-01-2025,ADB-2855-1368,tara810@bellsouth.net,tel10010,How To,Resolved,30,Remote Support,Chat,5,Already has AI
01-01-2025,ADB-9513-2187,amber974@gmail.com,tel10031,How To,Resolved,15,Shared Self-Help Article,Chat,4,Already has AI
01-01-2025,ADB-9603-7957,thomas838@comcast.net,tel10008,How To,Resolved,30,Remote Support,Phone,1,Not Interested
01-01-2025,ADB-1020-6630,katherine995@gmail.com,tel10012,Download/ Install,Resolved,27,Remote Support,Phone,5,Already has AI
01-01-2025,ADB-1192-2602,sandra429@aol.com,tel10022,Activation Issue,Resolved,18,Shared Self-Help Article,Chat,,Already has AI
01-01-2025,ADB-9021-5074,kimberly836@sbcglobal.net,tel10041,How To,Resolved,15,Shared Self-Help Article,Chat,3,Not Interested
01-01-2025,ADB-1336-3480,alexa678@yahoo.com,tel10099,Activation Issue,Resolved,17,Shared Self-Help Article,Chat,4,Not Interested
01-01-2025,ADB-1112-4513,kelly61@bellsouth.net,tel10061,Download/ Install,Resolved,30,Remote Support,Chat,5,AI Sold
01-01-2025,ADB-6378-8040,amy147@gmail.com,tel10013,Download/ Install,Resolved,19,Shared Self-Help Article,Chat,,Already has AI
01-01-2025,ADB-8984-8549,kimberly228@aol.com,tel10037,Download/ Install,Resolved,20,Shared Self-Help Article,Chat,3,Already has AI
01-01-2025,ADB-4638-4083,christian833@bellsouth.net,tel10037,Activation Issue,Resolved,26,Remote Support,Phone,1,AI Sold
01-01-2025,ADB-5829-5301,natasha57@outlook.com,tel10075,Download/ Install,Resolved,29,Remote Support,Chat,5,Already has AI
01-01-2025,ADB-6544-3570,robert702@aol.com,tel10007,How To,Pending Customer Action,15,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-2509-9824,christopher876@sbcglobal.net,tel10020,Update,Resolved,27,Remote Support,Phone,5,AI Sold
01-01-2025,ADB-2825-9963,jessica536@aol.com,tel10076,Activation Issue,Resolved,25,Remote Support,Phone,,AI Sold
01-01-2025,ADB-4881-5399,anna902@yahoo.com,tel10013,Activation Issue,Pending Customer Action,18,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-6451-4333,april441@comcast.net,tel10026,Update,Pending Agent Action,15,Issue not Resolved,Chat,,Issue not Resolved
01-01-2025,ADB-8784-3091,christopher387@gmail.com,tel10061,Activation Issue,Resolved,15,Shared Self-Help Article,Chat,3,Not Interested
01-01-2025,ADB-8291-2085,stacey291@bellsouth.net,tel10057,How To,Resolved,28,Remote Support,Phone,4,Already has AI
01-01-2025,ADB-9520-6894,brenda859@bellsouth.net,tel10030,How To,Pending Agent Action,17,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-8698-7089,max281@bellsouth.net,tel10048,Provisioning Issue,Resolved,30,Remote Support,Phone,,AI Sold
01-01-2025,ADB-7716-1625,brenda586@bellsouth.net,tel10030,Update,Pending Customer Action,17,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-5374-4692,timothy907@sbcglobal.net,tel10062,Provisioning Issue,Resolved,16,Shared Self-Help Article,Phone,,AI Sold
01-01-2025,ADB-8249-1351,trevor273@yahoo.com,tel10040,How To,Resolved,17,Shared Self-Help Article,Chat,5,Not Interested
01-01-2025,ADB-9813-2405,stephen688@sbcglobal.net,tel10018,Download/ Install,Pending Customer Action,18,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-6118-4739,patricia969@gmail.com,tel10006,Download/ Install,Resolved,17,Shared Self-Help Article,Chat,1,Already has AI
01-01-2025,ADB-1106-3771,jacqueline457@sbcglobal.net,tel10014,How To,Resolved,28,Remote Support,Phone,,Not Interested
01-01-2025,ADB-3200-9859,kevin126@gmail.com,tel10013,Download/ Install,Resolved,20,Shared Self-Help Article,Phone,5,Not Interested
01-01-2025,ADB-6535-1651,kimberly203@outlook.com,tel10009,Update,Resolved,16,Shared Self-Help Article,Chat,1,Not Interested
01-01-2025,ADB-8387-1898,danielle641@outlook.com,tel10056,How To,Resolved,25,Remote Support,Phone,,Already has AI
01-01-2025,ADB-4392-6624,jacqueline290@outlook.com,tel10070,Download/ Install,Callback Scheduled,19,SME Callback Scheduled,Chat,,Issue not Resolved
01-01-2025,ADB-1864-3264,tyler248@yahoo.com,tel10061,Download/ Install,Resolved,28,Remote Support,Phone,3,Not Interested
01-01-2025,ADB-2242-5639,stacy794@gmail.com,tel10084,Download/ Install,Resolved,26,Remote Support,Chat,4,Already has AI
01-01-2025,ADB-8608-1090,andre616@gmail.com,tel10027,Update,Pending Agent Action,15,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-3203-4431,andrew793@comcast.net,tel10055,How To,Resolved,28,Remote Support,Chat,4,Already has AI
01-01-2025,ADB-3006-8079,jessica316@outlook.com,tel10028,Download/ Install,Resolved,29,Remote Support,Phone,5,Not Interested
01-01-2025,ADB-8807-2369,christopher359@gmail.com,tel10098,How To,Resolved,19,Shared Self-Help Article,Phone,3,Already has AI
01-01-2025,ADB-8195-5862,brian940@bellsouth.net,tel10093,Download/ Install,Resolved,29,Remote Support,Chat,5,AI Sold
01-01-2025,ADB-6616-2082,valerie342@outlook.com,tel10094,Activation Issue,Pending Customer Action,19,Issue not Resolved,Chat,,Issue not Resolved
01-01-2025,ADB-4147-8924,joel616@gmail.com,tel10096,Download/ Install,Callback Scheduled,15,SME Callback Scheduled,Phone,,Issue not Resolved
01-01-2025,ADB-6367-8067,rebecca217@outlook.com,tel10074,Download/ Install,Resolved,30,Remote Support,Chat,4,Already has AI
01-01-2025,ADB-2490-9334,katherine995@gmail.com,tel10045,Activation Issue,Resolved,18,Shared Self-Help Article,Phone,5,Already has AI
01-01-2025,ADB-6842-8594,emily668@gmail.com,tel10025,Provisioning Issue,Resolved,17,Shared Self-Help Article,Chat,4,Already has AI
01-01-2025,ADB-3796-2057,david158@gmail.com,tel10011,Provisioning Issue,Pending Customer Action,18,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-3627-9858,wendy119@sbcglobal.net,tel10079,Activation Issue,Pending Customer Action,19,Issue not Resolved,Chat,,Issue not Resolved
01-01-2025,ADB-9422-4782,andrew363@comcast.net,tel10013,Activation Issue,Resolved,18,Shared Self-Help Article,Phone,4,Not Interested
01-01-2025,ADB-2982-4096,aaron548@aol.com,tel10018,Download/ Install,Resolved,27,Remote Support,Phone,4,Not Interested
01-01-2025,ADB-2678-7768,lucas949@aol.com,tel10091,Download/ Install,Resolved,20,Shared Self-Help Article,Chat,2,Already has AI
01-01-2025,ADB-2637-6679,elizabeth471@outlook.com,tel10008,Download/ Install,Resolved,27,Remote Support,Phone,1,Already has AI
01-01-2025,ADB-4284-2708,brian577@bellsouth.net,tel10031,How To,Resolved,16,Shared Self-Help Article,Phone,2,Already has AI
01-01-2025,ADB-5417-8007,wendy78@bellsouth.net,tel10004,How To,Pending Customer Action,16,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-1607-4943,amanda164@aol.com,tel10015,How To,Resolved,29,Remote Support,Phone,5,Already has AI
01-01-2025,ADB-3269-7146,aaron548@aol.com,tel10005,Download/ Install,Pending Agent Action,15,Issue not Resolved,Chat,,Issue not Resolved
01-01-2025,ADB-8376-8341,carol478@sbcglobal.net,tel10017,Provisioning Issue,Resolved,18,Shared Self-Help Article,Phone,4,AI Sold
01-01-2025,ADB-4172-5056,karen256@sbcglobal.net,tel10046,Download/ Install,Pending Agent Action,20,Issue not Resolved,Chat,,Issue not Resolved
01-01-2025,ADB-2244-6977,john358@outlook.com,tel10097,Update,Resolved,17,Shared Self-Help Article,Chat,3,AI Sold
01-01-2025,ADB-9872-6912,kevin334@sbcglobal.net,tel10051,Download/ Install,Resolved,26,Remote Support,Phone,4,Already has AI
01-01-2025,ADB-6944-1083,samantha177@aol.com,tel10019,Provisioning Issue,Resolved,25,Remote Support,Chat,5,Not Interested
01-01-2025,ADB-6723-4795,michael857@gmail.com,tel10008,Activation Issue,Resolved,17,Shared Self-Help Article,Phone,1,Not Interested
01-01-2025,ADB-9137-4641,shaun752@comcast.net,tel10035,Activation Issue,Resolved,15,Shared Self-Help Article,Chat,5,Already has AI
01-01-2025,ADB-7847-1511,katherine954@aol.com,tel10007,Download/ Install,Resolved,29,Remote Support,Chat,1,Not Interested
01-01-2025,ADB-6481-4485,jillian682@yahoo.com,tel10005,Download/ Install,Resolved,25,Remote Support,Phone,1,AI Sold
01-01-2025,ADB-1673-7670,andrew608@yahoo.com,tel10040,How To,Resolved,20,Shared Self-Help Article,Phone,4,Already has AI
01-01-2025,ADB-9845-5160,crystal468@sbcglobal.net,tel10092,Download/ Install,Pending Customer Action,18,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-7076-5976,brandon898@bellsouth.net,tel10057,How To,Callback Scheduled,15,SME Callback Scheduled,Chat,,Issue not Resolved
01-01-2025,ADB-2505-3917,joel616@gmail.com,tel10048,Download/ Install,Resolved,20,Shared Self-Help Article,Chat,4,Already has AI
01-01-2025,ADB-6389-3240,amy882@bellsouth.net,tel10023,Provisioning Issue,Resolved,17,Shared Self-Help Article,Chat,5,Already has AI
01-01-2025,ADB-3296-2845,jennifer594@aol.com,tel10026,How To,Resolved,28,Remote Support,Phone,,Already has AI
01-01-2025,ADB-2436-1774,katie535@aol.com,tel10029,Download/ Install,Pending Agent Action,20,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-4155-2890,matthew83@bellsouth.net,tel10065,Download/ Install,Resolved,16,Shared Self-Help Article,Phone,3,Not Interested
01-01-2025,ADB-7451-3612,chris530@gmail.com,tel10096,Activation Issue,Pending Customer Action,15,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-5943-4802,ashley509@outlook.com,tel10006,Provisioning Issue,Resolved,25,Remote Support,Phone,,Already has AI
01-01-2025,ADB-8272-3267,scott586@yahoo.com,tel10047,Activation Issue,Pending Agent Action,16,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-7660-5141,richard854@sbcglobal.net,tel10057,Update,Resolved,26,Remote Support,Phone,5,AI Sold
01-01-2025,ADB-6059-6879,martin847@outlook.com,tel10013,Download/ Install,Resolved,18,Shared Self-Help Article,Phone,2,AI Sold
01-01-2025,ADB-5248-3734,christopher876@sbcglobal.net,tel10089,Provisioning Issue,Resolved,26,Remote Support,Phone,,AI Sold
01-01-2025,ADB-8248-8781,william65@aol.com,tel10072,Update,Callback Scheduled,19,SME Callback Scheduled,Chat,,Issue not Resolved
01-01-2025,ADB-6626-4952,nicole905@aol.com,tel10073,Activation Issue,Resolved,15,Shared Self-Help Article,Chat,5,Not Interested
01-01-2025,ADB-7458-3462,andrew793@comcast.net,tel10088,Download/ Install,Resolved,26,Remote Support,Phone,5,AI Sold
01-01-2025,ADB-5663-3941,jonathan822@aol.com,tel10019,Update,Resolved,30,Remote Support,Phone,4,Not Interested
01-01-2025,ADB-3461-9538,cindy769@sbcglobal.net,tel10075,Activation Issue,Resolved,19,Shared Self-Help Article,Phone,5,AI Sold
01-01-2025,ADB-3538-4493,nicole190@aol.com,tel10091,Update,Resolved,18,Shared Self-Help Article,Chat,5,AI Sold
01-01-2025,ADB-6249-7591,robert901@comcast.net,tel10006,Download/ Install,Resolved,26,Remote Support,Chat,,Already has AI
01-01-2025,ADB-9939-3137,timothy971@yahoo.com,tel10084,Update,Callback Scheduled,20,SME Callback Scheduled,Phone,,Issue not Resolved
01-01-2025,ADB-2308-1249,david23@yahoo.com,tel10079,Provisioning Issue,Pending Agent Action,16,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-2473-3269,andrew793@comcast.net,tel10003,Activation Issue,Resolved,30,Remote Support,Chat,,AI Sold
01-01-2025,ADB-8259-9495,mark901@comcast.net,tel10020,Download/ Install,Resolved,17,Shared Self-Help Article,Chat,5,Not Interested
01-01-2025,ADB-5711-9502,david570@gmail.com,tel10040,Activation Issue,Resolved,25,Remote Support,Phone,4,AI Sold
01-01-2025,ADB-6578-5292,robert971@aol.com,tel10013,Activation Issue,Callback Scheduled,18,SME Callback Scheduled,Phone,,Issue not Resolved
01-01-2025,ADB-9348-3256,elizabeth321@outlook.com,tel10002,Download/ Install,Pending Customer Action,20,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-7997-5749,tyler520@sbcglobal.net,tel10020,How To,Resolved,19,Shared Self-Help Article,Chat,,Not Interested
01-01-2025,ADB-1457-7319,brenda586@bellsouth.net,tel10025,Provisioning Issue,Resolved,25,Remote Support,Chat,5,Not Interested
01-01-2025,ADB-8098-3689,daniel726@bellsouth.net,tel10044,Update,Resolved,16,Shared Self-Help Article,Chat,4,Not Interested
01-01-2025,ADB-3177-8412,joseph931@comcast.net,tel10085,Activation Issue,Resolved,29,Remote Support,Phone,5,Not Interested
01-01-2025,ADB-6315-7992,jennifer774@aol.com,tel10081,Update,Resolved,19,Shared Self-Help Article,Chat,1,Already has AI
01-01-2025,ADB-2115-6274,april192@aol.com,tel10009,Provisioning Issue,Resolved,26,Remote Support,Chat,5,Not Interested
01-01-2025,ADB-4578-7896,kathleen439@aol.com,tel10001,Update,Resolved,26,Remote Support,Chat,3,Already has AI
01-01-2025,ADB-1574-6356,jennifer112@yahoo.com,tel10004,How To,Resolved,29,Remote Support,Phone,4,Not Interested
01-01-2025,ADB-9275-3516,megan966@aol.com,tel10082,How To,Resolved,30,Remote Support,Phone,4,Already has AI
01-01-2025,ADB-8458-9855,pedro264@comcast.net,tel10089,Provisioning Issue,Resolved,30,Remote Support,Chat,1,AI Sold
01-01-2025,ADB-6395-4667,valerie219@sbcglobal.net,tel10031,Download/ Install,Callback Scheduled,19,SME Callback Scheduled,Phone,,Issue not Resolved
01-01-2025,ADB-2337-4017,jennifer542@sbcglobal.net,tel10050,Download/ Install,Resolved,28,Remote Support,Chat,,AI Sold
01-01-2025,ADB-1872-5892,robert461@comcast.net,tel10004,Update,Resolved,27,Remote Support,Chat,5,AI Sold
01-01-2025,ADB-5641-9615,james486@outlook.com,tel10093,Download/ Install,Pending Customer Action,18,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-5223-7613,clarence180@sbcglobal.net,tel10043,Update,Resolved,28,Remote Support,Chat,4,Already has AI
01-01-2025,ADB-2777-9488,shane360@outlook.com,tel10040,Update,Callback Scheduled,19,SME Callback Scheduled,Chat,,Issue not Resolved
01-01-2025,ADB-8727-3941,jonathan584@aol.com,tel10045,How To,Resolved,28,Remote Support,Chat,1,AI Sold
01-01-2025,ADB-2530-8207,kristin544@aol.com,tel10048,Activation Issue,Resolved,30,Remote Support,Phone,4,Already has AI
01-01-2025,ADB-1540-5841,jasmine477@gmail.com,tel10061,Update,Resolved,16,Shared Self-Help Article,Phone,3,Already has AI
01-01-2025,ADB-9803-1699,gregory262@gmail.com,tel10088,Activation Issue,Resolved,25,Remote Support,Chat,5,Not Interested
01-01-2025,ADB-7761-1736,melissa203@gmail.com,tel10014,How To,Resolved,25,Remote Support,Phone,3,Not Interested
01-01-2025,ADB-5767-2324,nicole747@yahoo.com,tel10012,Download/ Install,Callback Scheduled,16,SME Callback Scheduled,Phone,,Issue not Resolved
01-01-2025,ADB-6823-6150,jeremy350@bellsouth.net,tel10009,Update,Resolved,15,Shared Self-Help Article,Phone,,Already has AI
01-01-2025,ADB-5893-9052,scott309@sbcglobal.net,tel10090,How To,Resolved,17,Shared Self-Help Article,Phone,1,Not Interested
01-01-2025,ADB-2532-5478,gabrielle716@sbcglobal.net,tel10092,Provisioning Issue,Resolved,29,Remote Support,Chat,5,AI Sold
01-01-2025,ADB-4399-6412,james985@outlook.com,tel10066,Download/ Install,Resolved,26,Remote Support,Phone,4,AI Sold
01-01-2025,ADB-9913-5770,drew210@comcast.net,tel10045,Activation Issue,Resolved,16,Shared Self-Help Article,Phone,5,Already has AI
01-01-2025,ADB-5178-6224,james935@gmail.com,tel10069,How To,Resolved,15,Shared Self-Help Article,Chat,2,AI Sold
01-01-2025,ADB-8075-4737,michael930@gmail.com,tel10023,Provisioning Issue,Resolved,17,Shared Self-Help Article,Chat,,AI Sold
01-01-2025,ADB-4406-8148,robert440@yahoo.com,tel10075,Activation Issue,Callback Scheduled,17,SME Callback Scheduled,Phone,,Issue not Resolved
01-01-2025,ADB-7749-2329,andrew648@comcast.net,tel10064,Provisioning Issue,Pending Agent Action,20,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-2966-4195,roberto265@sbcglobal.net,tel10020,Provisioning Issue,Resolved,15,Shared Self-Help Article,Chat,4,Not Interested
01-01-2025,ADB-6477-2515,eric834@outlook.com,tel10042,Provisioning Issue,Resolved,16,Shared Self-Help Article,Chat,5,Already has AI
01-01-2025,ADB-7272-6073,aaron79@aol.com,tel10010,How To,Resolved,19,Shared Self-Help Article,Phone,,AI Sold
01-01-2025,ADB-4571-5734,daniel726@bellsouth.net,tel10033,Download/ Install,Resolved,20,Shared Self-Help Article,Phone,4,Not Interested
