Date,Agent ID,Agent Name,Agent Attendance
03-01-2025,tel10009,Kathleen Estrada,Present
03-01-2025,tel10010,Derrick Anderson,Present
03-01-2025,tel10011,Candace Thomas,Present
03-01-2025,tel10012,Michael Dorsey,Present
03-01-2025,tel10013,Zachary Sweeney,Present
03-01-2025,tel10014,Robert Oconnor,Present
03-01-2025,tel10015,Kayla Reid,Present
03-01-2025,tel10016,Brian Henry,Present
03-01-2025,tel10017,Lee Vaughn,Present
03-01-2025,tel10018,James Clayton,Present
03-01-2025,tel10019,Amber Douglas,Present
03-01-2025,tel10020,Jessica Bennett,Present
03-01-2025,tel10021,Lisa Wood,Present
03-01-2025,tel10022,Jonathan Gregory,Present
03-01-2025,tel10023,Cory Roberts,Present
03-01-2025,tel10024,Donna Banks,Present
03-01-2025,tel10025,Ryan Kelly,Present
03-01-2025,tel10026,Sean Rios,Present
03-01-2025,tel10027,Jacob Davis,Present
03-01-2025,tel10028,Ashley Smith,Present
03-01-2025,tel10029,Daniel Frazier,Present
03-01-2025,tel10030,John Day,Present
03-01-2025,tel10031,Steven Long,Present
03-01-2025,tel10032,Anthony Bates,Present
03-01-2025,tel10033,Amy May,Present
03-01-2025,tel10034,Jasmine Peck,Present
03-01-2025,tel10035,Stacey Moore,Present
03-01-2025,tel10036,Steven Taylor,Present
03-01-2025,tel10037,James Mueller,Present
03-01-2025,tel10038,Peter Carter,Present
03-01-2025,tel10039,Crystal Davis,Present
03-01-2025,tel10040,Andrew Hayes,Present
03-01-2025,tel10041,Kenneth Goodwin,Present
03-01-2025,tel10042,Craig Ortega,Absent
03-01-2025,tel10043,Christine Murphy,Present
03-01-2025,tel10044,Christopher Beard,Present
03-01-2025,tel10045,Richard Boyer,Present
03-01-2025,tel10046,Alex Henry,Present
03-01-2025,tel10047,Timothy Bishop,Present
03-01-2025,tel10048,Michael Baker,Present
03-01-2025,tel10049,Vanessa Hansen,Present
03-01-2025,tel10050,Jessica Armstrong,Present
03-01-2025,tel10051,Darrell Smith,Present
03-01-2025,tel10052,Julie Murray,Present
03-01-2025,tel10053,Alex Park,Present
03-01-2025,tel10054,Nathan Williams,Present
03-01-2025,tel10055,Joseph Brown,Present
03-01-2025,tel10056,Maxwell Munoz,Present
03-01-2025,tel10057,Joseph Washington,Present
03-01-2025,tel10058,Brian Johnson,Present
03-01-2025,tel10059,Louis Turner,Present
03-01-2025,tel10060,David Gray,Present
03-01-2025,tel10061,Gail Jackson,Present
03-01-2025,tel10062,Kim Shields,Present
03-01-2025,tel10063,Justin Durham,Present
03-01-2025,tel10064,Kenneth Miller,Present
03-01-2025,tel10065,Gabriel Allen,Present
03-01-2025,tel10066,Brian Burton,Present
03-01-2025,tel10067,Michael Hansen,Present
03-01-2025,tel10068,Madeline Hill,Present
03-01-2025,tel10069,Juan Matthews,Present
03-01-2025,tel10070,Jeanette Jackson,Present
03-01-2025,tel10071,Crystal Johnson,Present
03-01-2025,tel10072,Daniel Peters,Present
03-01-2025,tel10073,Benjamin Davis,Present
03-01-2025,tel10074,Jesse Jordan,Present
03-01-2025,tel10075,Michael Rowland,Present
03-01-2025,tel10076,Juan Thompson,Present
03-01-2025,tel10077,Jeffrey Key,Present
03-01-2025,tel10078,Ryan Pineda,Present
03-01-2025,tel10079,Jessica Murphy,Present
03-01-2025,tel10080,Arthur Hall,Present
03-01-2025,tel10081,Justin Gonzalez,Present
03-01-2025,tel10082,Eric Rangel,Present
03-01-2025,tel10083,Kristin Gonzalez,Present
03-01-2025,tel10084,Joseph Williams,Present
03-01-2025,tel10085,Robert Cobb,Present
03-01-2025,tel10086,Amber Myers,Present
03-01-2025,tel10087,Brandon Olson,Present
03-01-2025,tel10088,Kathleen Thompson,Present
03-01-2025,tel10089,Elijah Costa,Present
03-01-2025,tel10090,Jody Perez,Present
03-01-2025,tel10091,Timothy Burns,Present
03-01-2025,tel10092,Connie Cruz,Present
03-01-2025,tel10093,Joseph Stone,Present
03-01-2025,tel10094,Derek Nguyen,Present
03-01-2025,tel10095,Justin Jones,Present
03-01-2025,tel10096,Ethan Smith,Present
03-01-2025,tel10097,Brandi Smith,Present
03-01-2025,tel10098,Peter Freeman,Present
03-01-2025,tel10099,John Henry,Present
04-01-2025,tel10000,Lisa Adams,Present
04-01-2025,tel10001,Raven Ruiz,Present
04-01-2025,tel10002,Joshua Green,Present
04-01-2025,tel10003,Brandon Travis,Present
04-01-2025,tel10004,Laurie Avila,Present
04-01-2025,tel10005,Michael Williams,Present
04-01-2025,tel10006,William Miller,Present
04-01-2025,tel10007,Jesse Diaz,Present
04-01-2025,tel10008,Alexander Donovan,Present
04-01-2025,tel10009,Kathleen Estrada,Present
04-01-2025,tel10010,Derrick Anderson,Absent
04-01-2025,tel10011,Candace Thomas,Present
04-01-2025,tel10012,Michael Dorsey,Present
04-01-2025,tel10013,Zachary Sweeney,Present
04-01-2025,tel10014,Robert Oconnor,Present
04-01-2025,tel10015,Kayla Reid,Present
04-01-2025,tel10016,Brian Henry,Present
04-01-2025,tel10017,Lee Vaughn,Present
04-01-2025,tel10018,James Clayton,Present
04-01-2025,tel10019,Amber Douglas,Present
04-01-2025,tel10020,Jessica Bennett,Present
04-01-2025,tel10021,Lisa Wood,Absent
04-01-2025,tel10022,Jonathan Gregory,Present
04-01-2025,tel10023,Cory Roberts,Present
04-01-2025,tel10024,Donna Banks,Present
04-01-2025,tel10025,Ryan Kelly,Present
04-01-2025,tel10026,Sean Rios,Absent
04-01-2025,tel10027,Jacob Davis,Present
04-01-2025,tel10028,Ashley Smith,Present
04-01-2025,tel10029,Daniel Frazier,Present
04-01-2025,tel10030,John Day,Present
04-01-2025,tel10031,Steven Long,Present
04-01-2025,tel10032,Anthony Bates,Present
04-01-2025,tel10033,Amy May,Present
04-01-2025,tel10034,Jasmine Peck,Present
04-01-2025,tel10035,Stacey Moore,Present
04-01-2025,tel10036,Steven Taylor,Present
04-01-2025,tel10037,James Mueller,Present
04-01-2025,tel10038,Peter Carter,Present
04-01-2025,tel10039,Crystal Davis,Present
04-01-2025,tel10040,Andrew Hayes,Present
04-01-2025,tel10041,Kenneth Goodwin,Present
04-01-2025,tel10042,Craig Ortega,Present
04-01-2025,tel10043,Christine Murphy,Present
04-01-2025,tel10044,Christopher Beard,Present
04-01-2025,tel10045,Richard Boyer,Present
04-01-2025,tel10046,Alex Henry,Present
04-01-2025,tel10047,Timothy Bishop,Present
04-01-2025,tel10048,Michael Baker,Present
04-01-2025,tel10049,Vanessa Hansen,Present
04-01-2025,tel10050,Jessica Armstrong,Present
04-01-2025,tel10051,Darrell Smith,Present
04-01-2025,tel10052,Julie Murray,Present
04-01-2025,tel10053,Alex Park,Present
04-01-2025,tel10054,Nathan Williams,Present
04-01-2025,tel10055,Joseph Brown,Present
04-01-2025,tel10056,Maxwell Munoz,Present
04-01-2025,tel10057,Joseph Washington,Present
04-01-2025,tel10058,Brian Johnson,Present
04-01-2025,tel10059,Louis Turner,Present
04-01-2025,tel10060,David Gray,Present
04-01-2025,tel10061,Gail Jackson,Present
04-01-2025,tel10062,Kim Shields,Present
04-01-2025,tel10063,Justin Durham,Present
04-01-2025,tel10064,Kenneth Miller,Present
04-01-2025,tel10065,Gabriel Allen,Present
04-01-2025,tel10066,Brian Burton,Present
04-01-2025,tel10067,Michael Hansen,Present
04-01-2025,tel10068,Madeline Hill,Present
04-01-2025,tel10069,Juan Matthews,Present
04-01-2025,tel10070,Jeanette Jackson,Present
04-01-2025,tel10071,Crystal Johnson,Absent
04-01-2025,tel10072,Daniel Peters,Present
04-01-2025,tel10073,Benjamin Davis,Present
04-01-2025,tel10074,Jesse Jordan,Present
04-01-2025,tel10075,Michael Rowland,Present
04-01-2025,tel10076,Juan Thompson,Present
04-01-2025,tel10077,Jeffrey Key,Present
04-01-2025,tel10078,Ryan Pineda,Present
04-01-2025,tel10079,Jessica Murphy,Present
04-01-2025,tel10080,Arthur Hall,Present
04-01-2025,tel10081,Justin Gonzalez,Present
04-01-2025,tel10082,Eric Rangel,Present
04-01-2025,tel10083,Kristin Gonzalez,Present
04-01-2025,tel10084,Joseph Williams,Present
04-01-2025,tel10085,Robert Cobb,Present
04-01-2025,tel10086,Amber Myers,Present
04-01-2025,tel10087,Brandon Olson,Present
04-01-2025,tel10088,Kathleen Thompson,Present
04-01-2025,tel10089,Elijah Costa,Absent
04-01-2025,tel10090,Jody Perez,Present
04-01-2025,tel10091,Timothy Burns,Present
04-01-2025,tel10092,Connie Cruz,Present
04-01-2025,tel10093,Joseph Stone,Present
04-01-2025,tel10094,Derek Nguyen,Present
04-01-2025,tel10095,Justin Jones,Present
04-01-2025,tel10096,Ethan Smith,Present
04-01-2025,tel10097,Brandi Smith,Present
04-01-2025,tel10098,Peter Freeman,Present
04-01-2025,tel10099,John Henry,Present
05-01-2025,tel10000,Lisa Adams,Present
05-01-2025,tel10001,Raven Ruiz,Present
05-01-2025,tel10002,Joshua Green,Present
05-01-2025,tel10003,Brandon Travis,Present
05-01-2025,tel10004,Laurie Avila,Absent
05-01-2025,tel10005,Michael Williams,Present
05-01-2025,tel10006,William Miller,Present
05-01-2025,tel10007,Jesse Diaz,Present
05-01-2025,tel10008,Alexander Donovan,Present
05-01-2025,tel10009,Kathleen Estrada,Absent
05-01-2025,tel10010,Derrick Anderson,Present
05-01-2025,tel10011,Candace Thomas,Absent
05-01-2025,tel10012,Michael Dorsey,Present
05-01-2025,tel10013,Zachary Sweeney,Present
05-01-2025,tel10014,Robert Oconnor,Present
05-01-2025,tel10015,Kayla Reid,Present
05-01-2025,tel10016,Brian Henry,Present
05-01-2025,tel10017,Lee Vaughn,Present
05-01-2025,tel10018,James Clayton,Present
05-01-2025,tel10019,Amber Douglas,Present
05-01-2025,tel10020,Jessica Bennett,Present
05-01-2025,tel10021,Lisa Wood,Present
05-01-2025,tel10022,Jonathan Gregory,Present
05-01-2025,tel10023,Cory Roberts,Present
05-01-2025,tel10024,Donna Banks,Absent
05-01-2025,tel10025,Ryan Kelly,Present
05-01-2025,tel10026,Sean Rios,Present
05-01-2025,tel10027,Jacob Davis,Present
05-01-2025,tel10028,Ashley Smith,Present
05-01-2025,tel10029,Daniel Frazier,Present
05-01-2025,tel10030,John Day,Present
05-01-2025,tel10031,Steven Long,Present
05-01-2025,tel10032,Anthony Bates,Present
05-01-2025,tel10033,Amy May,Present
05-01-2025,tel10034,Jasmine Peck,Present
05-01-2025,tel10035,Stacey Moore,Present
05-01-2025,tel10036,Steven Taylor,Present
05-01-2025,tel10037,James Mueller,Present
05-01-2025,tel10038,Peter Carter,Present
05-01-2025,tel10039,Crystal Davis,Present
05-01-2025,tel10040,Andrew Hayes,Present
05-01-2025,tel10041,Kenneth Goodwin,Present
05-01-2025,tel10042,Craig Ortega,Present
05-01-2025,tel10043,Christine Murphy,Present
05-01-2025,tel10044,Christopher Beard,Absent
05-01-2025,tel10045,Richard Boyer,Present
05-01-2025,tel10046,Alex Henry,Present
05-01-2025,tel10047,Timothy Bishop,Present
05-01-2025,tel10048,Michael Baker,Present
05-01-2025,tel10049,Vanessa Hansen,Present
05-01-2025,tel10050,Jessica Armstrong,Present
05-01-2025,tel10051,Darrell Smith,Present
05-01-2025,tel10052,Julie Murray,Present
05-01-2025,tel10053,Alex Park,Present
05-01-2025,tel10054,Nathan Williams,Present
05-01-2025,tel10055,Joseph Brown,Present
05-01-2025,tel10056,Maxwell Munoz,Present
05-01-2025,tel10057,Joseph Washington,Present
05-01-2025,tel10058,Brian Johnson,Present
05-01-2025,tel10059,Louis Turner,Present
05-01-2025,tel10060,David Gray,Present
05-01-2025,tel10061,Gail Jackson,Present
05-01-2025,tel10062,Kim Shields,Present
05-01-2025,tel10063,Justin Durham,Present
05-01-2025,tel10064,Kenneth Miller,Present
05-01-2025,tel10065,Gabriel Allen,Present
05-01-2025,tel10066,Brian Burton,Present
05-01-2025,tel10067,Michael Hansen,Present
05-01-2025,tel10068,Madeline Hill,Present
05-01-2025,tel10069,Juan Matthews,Present
05-01-2025,tel10070,Jeanette Jackson,Present
05-01-2025,tel10071,Crystal Johnson,Present
05-01-2025,tel10072,Daniel Peters,Present
05-01-2025,tel10073,Benjamin Davis,Present
05-01-2025,tel10074,Jesse Jordan,Present
05-01-2025,tel10075,Michael Rowland,Present
05-01-2025,tel10076,Juan Thompson,Present
05-01-2025,tel10077,Jeffrey Key,Present
05-01-2025,tel10078,Ryan Pineda,Present
05-01-2025,tel10079,Jessica Murphy,Present
05-01-2025,tel10080,Arthur Hall,Present
05-01-2025,tel10081,Justin Gonzalez,Present
05-01-2025,tel10082,Eric Rangel,Present
05-01-2025,tel10083,Kristin Gonzalez,Present
05-01-2025,tel10084,Joseph Williams,Present
05-01-2025,tel10085,Robert Cobb,Present
05-01-2025,tel10086,Amber Myers,Present
05-01-2025,tel10087,Brandon Olson,Present
05-01-2025,tel10088,Kathleen Thompson,Present
05-01-2025,tel10089,Elijah Costa,Present
05-01-2025,tel10090,Jody Perez,Present
05-01-2025,tel10091,Timothy Burns,Present
05-01-2025,tel10092,Connie Cruz,Present
05-01-2025,tel10093,Joseph Stone,Present
05-01-2025,tel10094,Derek Nguyen,Present
05-01-2025,tel10095,Justin Jones,Present
05-01-2025,tel10096,Ethan Smith,Present
05-01-2025,tel10097,Brandi Smith,Present
05-01-2025,tel10098,Peter Freeman,Present
05-01-2025,tel10099,John Henry,Present
06-01-2025,tel10000,Lisa Adams,Present
06-01-2025,tel10001,Raven Ruiz,Present
06-01-2025,tel10002,Joshua Green,Present
06-01-2025,tel10003,Brandon Travis,Present
06-01-2025,tel10004,Laurie Avila,Present
06-01-2025,tel10005,Michael Williams,Present
06-01-2025,tel10006,William Miller,Present
06-01-2025,tel10007,Jesse Diaz,Present
06-01-2025,tel10008,Alexander Donovan,Present
06-01-2025,tel10009,Kathleen Estrada,Present
06-01-2025,tel10010,Derrick Anderson,Present
06-01-2025,tel10011,Candace Thomas,Present
06-01-2025,tel10012,Michael Dorsey,Present
06-01-2025,tel10013,Zachary Sweeney,Present
06-01-2025,tel10014,Robert Oconnor,Present
06-01-2025,tel10015,Kayla Reid,Present
06-01-2025,tel10016,Brian Henry,Present
06-01-2025,tel10017,Lee Vaughn,Present
06-01-2025,tel10018,James Clayton,Present
06-01-2025,tel10019,Amber Douglas,Present
06-01-2025,tel10020,Jessica Bennett,Present
06-01-2025,tel10021,Lisa Wood,Present
06-01-2025,tel10022,Jonathan Gregory,Present
06-01-2025,tel10023,Cory Roberts,Present
06-01-2025,tel10024,Donna Banks,Present
06-01-2025,tel10025,Ryan Kelly,Present
06-01-2025,tel10026,Sean Rios,Present
06-01-2025,tel10027,Jacob Davis,Present
06-01-2025,tel10028,Ashley Smith,Present
06-01-2025,tel10029,Daniel Frazier,Present
06-01-2025,tel10030,John Day,Present
06-01-2025,tel10031,Steven Long,Present
06-01-2025,tel10032,Anthony Bates,Present
06-01-2025,tel10033,Amy May,Present
06-01-2025,tel10034,Jasmine Peck,Present
06-01-2025,tel10035,Stacey Moore,Present
06-01-2025,tel10036,Steven Taylor,Present
06-01-2025,tel10037,James Mueller,Present
06-01-2025,tel10038,Peter Carter,Present
06-01-2025,tel10039,Crystal Davis,Present
06-01-2025,tel10040,Andrew Hayes,Present
06-01-2025,tel10041,Kenneth Goodwin,Present
06-01-2025,tel10042,Craig Ortega,Present
06-01-2025,tel10043,Christine Murphy,Present
06-01-2025,tel10044,Christopher Beard,Present
06-01-2025,tel10045,Richard Boyer,Present
06-01-2025,tel10046,Alex Henry,Absent
06-01-2025,tel10047,Timothy Bishop,Present
06-01-2025,tel10048,Michael Baker,Present
06-01-2025,tel10049,Vanessa Hansen,Present
06-01-2025,tel10050,Jessica Armstrong,Absent
06-01-2025,tel10051,Darrell Smith,Present
06-01-2025,tel10052,Julie Murray,Present
06-01-2025,tel10053,Alex Park,Present
06-01-2025,tel10054,Nathan Williams,Present
06-01-2025,tel10055,Joseph Brown,Present
06-01-2025,tel10056,Maxwell Munoz,Present
06-01-2025,tel10057,Joseph Washington,Present
06-01-2025,tel10058,Brian Johnson,Present
06-01-2025,tel10059,Louis Turner,Present
06-01-2025,tel10060,David Gray,Present
06-01-2025,tel10061,Gail Jackson,Present
06-01-2025,tel10062,Kim Shields,Present
06-01-2025,tel10063,Justin Durham,Present
06-01-2025,tel10064,Kenneth Miller,Present
06-01-2025,tel10065,Gabriel Allen,Present
06-01-2025,tel10066,Brian Burton,Present
06-01-2025,tel10067,Michael Hansen,Present
06-01-2025,tel10068,Madeline Hill,Present
06-01-2025,tel10069,Juan Matthews,Present
06-01-2025,tel10070,Jeanette Jackson,Present
06-01-2025,tel10071,Crystal Johnson,Present
06-01-2025,tel10072,Daniel Peters,Present
06-01-2025,tel10073,Benjamin Davis,Present
06-01-2025,tel10074,Jesse Jordan,Present
06-01-2025,tel10075,Michael Rowland,Present
06-01-2025,tel10076,Juan Thompson,Present
06-01-2025,tel10077,Jeffrey Key,Present
06-01-2025,tel10078,Ryan Pineda,Present
06-01-2025,tel10079,Jessica Murphy,Absent
06-01-2025,tel10080,Arthur Hall,Present
06-01-2025,tel10081,Justin Gonzalez,Present
06-01-2025,tel10082,Eric Rangel,Present
06-01-2025,tel10083,Kristin Gonzalez,Present
06-01-2025,tel10084,Joseph Williams,Present
06-01-2025,tel10085,Robert Cobb,Present
06-01-2025,tel10086,Amber Myers,Present
06-01-2025,tel10087,Brandon Olson,Present
06-01-2025,tel10088,Kathleen Thompson,Present
06-01-2025,tel10089,Elijah Costa,Present
06-01-2025,tel10090,Jody Perez,Present
06-01-2025,tel10091,Timothy Burns,Present
06-01-2025,tel10092,Connie Cruz,Absent
06-01-2025,tel10093,Joseph Stone,Present
06-01-2025,tel10094,Derek Nguyen,Present
06-01-2025,tel10095,Justin Jones,Present
06-01-2025,tel10096,Ethan Smith,Present
06-01-2025,tel10097,Brandi Smith,Present
06-01-2025,tel10098,Peter Freeman,Present
06-01-2025,tel10099,John Henry,Present
07-01-2025,tel10000,Lisa Adams,Present
07-01-2025,tel10001,Raven Ruiz,Present
07-01-2025,tel10002,Joshua Green,Present
07-01-2025,tel10003,Brandon Travis,Present
